id,name,cc_id
,A CORUÑA,34150001
,ALBACETE,34020001
,ALBUFERA,34280004
,ALCALA 385,34280009
,ALCALA 386,34280007
,ALCALA DE HENARES,34280001
,ALCANTARILLA,34300002
,ALCOBENDAS,34280006
,ALCORCON,34280013
,ALCOY,34030008
,ALGECIRAS,34110003
,ALICANTE,34030000
,ALMERIA,34040000
,ANDUJAR,34230004
,ANTEQUERA,34290001
,ARANJUEZ,34280032
,BADAJOZ,34060000
,BADALONA,34080001
,BARAJAS,34280028
,BARCELONA- SANTS,34080003
,BARCELONA-GRAN DE GRACIA,34080000
,BARCELONA-POBLENOU,34080009
,BARCELONA-SAGRADA FAMILIA,34080005
,BASAURI,34480005
,BCN SANT ANTONI,34080016
,BCN-BALMES,34080010
,BENAVENTE,34490001
,BERMEO,34480009
,BILBAO,34480003
,BOADILLA,34280019
,BRAVO MURILLO,34280005
,BURGOS,34090000
,C.C. LA BALLENA-LAS PALMAS,34350004
,CACERES,34100002
,CADIZ,34110001
,CAMBRILS,34430002
,CARABANCHEL,34280035
,CARTAGENA,34300000
,CASTELLDEFELS,34080004
,CASTELLON,34120000
,CC PLENILUNIO,34280030
,CC. LAS ARENAS,34350005
,CIUDAD REAL,34130002
,CLINICA CASTROURDIALES,34390002
,COLLADO VILLALBA,34280016
,COLMENAR VIEJO,34280024
,CORDOBA,34140000
,CORNELLA,34080008
,COSLADA,34280022
,CUENCA,34160000
,DELICIAS,34280012
,DENIA,34030006
,DESCONOCIDO,0
,DOS HERMANAS,34410000
,DURANGO,34480007
,EL EJIDO,34040002
,EL FERROL,34150002
,EL PRAT DE LLOBREGAT,34080028
,ELCHE,34030002
,ELDA,34030007
,ESTEPONA,34290011
,FABRA I PUIG,34080019
,FIGUERES,34170001
,FORMACION TEMPORAL,34000016
,FUENGIROLA,34290009
,FUENLABRADA I,34280015
,FUENLABRADA II,34280010
,FUERTEVENTURA,34350003
,GALDAKAO,34480010
,GANDIA,34460002
,GAVA,34080015
,GETAFE 73,34280014
,GETAFE 73,34280026
,GETXO,34480001
,GIJON,34330000
,GIRONA,34170000
,GRAN VIA MADRID,34280042
,GRANADA,34180000
,GRANADA 2 - RECOGIDAS,34180002
,GRANOLLERS,34080017
,GUADALAJARA,34190000
,HOSPITALET,34080002
,HUELVA 1 CC HOLEA,34210000
,HUELVA 2,34210001
,HUESCA,34220000
,IBIZA,34070005
,INCA,34070004
,INTERNACIONAL,57000000
,INTERNACIONAL,39000000
,INTERNACIONAL,52000000
,IRUN,34200001
,ITINERANTE PAIS VASCO,34000033
,JAEN,34230000
,JEREZ DE LA FRONTERA,34110000
,JEREZ2 AREA SUR,34110005
,LA LINEA DE LA CONCEPCION,34110006
,LAS PALMAS DE GRAN CANARIAS,34350000
,LEGANES,34280021
,LEON,34240000
,LINARES,34230003
,LLEIDA,34250000
,LLOBREGOS,34080023
,LOGROÑO,34260000
,LORCA,34300003
,LUGO,34270000
,MADRID,34000014
,MADRID,34000013
,MADRID,34000006
,MADRID,34000004
,MADRID,34000025
,MADRID,34000027
,MADRID,34000015
,MADRID,34000032
,MADRID,34000012
,MADRID,34000001
,MADRID,34000020
,MADRID,34000002
,MADRID,34000018
,MADRID,34000005
,MADRID,34000029
,MADRID,34000003
,MADRID,34000022
,MADRID,34000011
,MADRID,34000007
,MADRID GOYA 58,34280041
,MADRID LOPEZ DE HOYOS,34280037
,MAHON,34070001
,MAJADAHONDA,34280017
,MALAGA,34290000
,MALAGA 2,34290002
,MALLORCA 2,34070002
,MANACOR,34070003
,MANRESA,34080011
,MARBELLA,34290005
,MATARO,34080006
,MERIDA,34060001
,MOLINA DE SEGURA,34300001
,MOLLET DEL VALLES,34080014
,MORATALAZ,34280033
,MOSTOLES,34280011
,MOSTOLES 2,34280027
,MOTRIL,34180001
,MURCIA,34300004
,ORIHUELA,34030003
,OURENSE,34320000
,OVIEDO,34330001
,PALENCIA,34340000
,PALMA DE MALLORCA,34070000
,PAMPLONA,34310000
,PAMPLONA 2,34310002
,PARLA,34280025
,PATERNA,34460004
,PLASENCIA,34100001
,PONFERRADA,34240001
,PONTEVEDRA,34360001
,PORTUGALETE 1,34480000
,PUERTO DE SANTA MARIA,34110002
,PUERTOLLANO,34130001
,QUEVEDO,34280018
,REUS,34430000
,RONDA,34290008
,ROQUETAS DE MAR,34040001
,RUBI,34080018
,SABADELL,34080007
,SAGUNTO,34460006
,SALAMANCA,34370000
,SAN BLAS-LAS ROSAS,34280020
,SAN FERNANDO,34110007
,SAN SEBASTIAN,34200000
,SAN SEBASTIAN 2,34200002
,SAN VICENTE DEL RASPEIG,34030005
,SANLUCAR DE BARRAMEDA,34110004
,SANTANDER,34390000
,SANTIAGO DE COMPOSTELA,34150000
,SANTURCE,34480004
,SANTUTXU,34480008
,SEGOVIA,34400000
,SEVILLA 1,34410001
,SEVILLA 2- MACARENA,34410002
,SEVILLA 4- LUIS DE MORALES,34410004
,SEVILLA 4- LUIS DE MORALES,34415002
,SEVILLA3 -  ASUNCION,34410003
,SORIA,34420000
,STAND BILBAO/PORTUGALETE BALLONTI,34489001
,STAND CADIZ/JEREZ AREA SUR,34119001
,STAND GRANADA CARREFOUR,34189002
,STAND LAS PALMAS CC 7 PALMAS,34359004
,STAND LAS PALMAS TELDE,34359001
,STAND LAS PALMAS/PUERTO DEL ROSARIO LA ROTONDA,34359003
,STAND MADRID CC LA GAVIA,34289014
,STAND MADRID TRES AGUAS,34289010
,STAND MADRID XANADU MADRID,34289004
,STAND MADRID/TORREJON  PARQUE CORREDOR,34289002
,STAND MALAGA LARIOS,34299000
,STAND MALAGA VELEZ CC EL INGENIO,34299002
,STAND PONTEVEDRA  CASALCEDO,34369000
,STAND SANTIAGO LAS CANCELAS,34119002
,STAND VALENCIA CAMPANAR,34469002
,STAND VIGO GRAN VIA,34369001
,STAND ZARAGOZA ZGZ CC PUERTO VENECIA,34509004
,TALAVERA DE LA REINA,34450000
,TARRAGONA,34430001
,TELDE,34350001
,TENERIFE,34380000
,TERRASSA,34030001
,TERUEL,34440000
,TOMELLOSO,34130000
,TORREJON DE ARDOZ,34280003
,TORRELAVEGA,34390001
,TORREMOLINOS,34290006
,TORRENTE,34460003
,TORREVIEJA,34030004
,TUDELA,34310001
,UBEDA,34230002
,USERA 134,34280002
,USERA139,34280000
,UTRERA,34410005
,VAGUADA,34280008
,VAGUADA 2,34280023
,VALENCIA 1,34460000
,VALENCIA 2,34460001
,VALENCIA 3,34460005
,VALLADOLID 1,34470000
,VALLADOLID 2,34470001
,VALLECAS,34280029
,VECINDARIO,34350002
,VELEZ-MALAGA,34290010
,VIGO,34360000
,VIGO2,34360003
,VILAFRANCA DEL PENEDES,34080021
,VILANOVA I LA GELTRU,34080030
,VILLAGARCIA DE AUROSA,34360002
,VITORIA 1,34010000
,VITORIA 2,34010001
,ZAMORA,34490000
,ZARAGOZA 1,34500001
,ZARAGOZA 2,34500000
,ZARAGOZA 4,34500003